"Citation","Title","Tuning","Page"
"RSB, Bonanza","Drowsy Maggie","aDADE",
"RSB, Bonanza","Ducks On The Mill Pond","aDADE",
"RSB, Bonanza","Ebenezer","gDGBD",
"RSB, Bonanza","Ebenezer","gDGDE",
"RSB, Bonanza","Fire On The Mountain","aDAC#E",
"RSB, Bonanza","Fisher's Hornpipe","aDADE",
"RSB, Bonanza","Fisher's Hornpipe - Melodic","aDADE",
"RSB, Bonanza","Fisher's Hornpipe - Stripped 1 Wrong","aDADE",
"RSB, Bonanza","Fisher's Hornpipe - Stripped Right 1","aDADE",
"RSB, Bonanza","Fisher's Hornpipe - Stripped Right 2","aDADE",
"RSB, Bonanza","Fisher's Hornpipe - Stripped Right 3","aDADE",
"RSB, Bonanza","Fisher's Hornpipe -Stripped Right 4","aDADE",
"RSB, Bonanza","Five Miles Of Ellum Wood","aEAC#E",
"RSB, Bonanza","Flatfooted Henry","gCGCD",
"RSB, Bonanza","Flop Eared Mule","aDAC#E",
"RSB, Bonanza","Flop Eared Mule – Weissberg","gDGBD",
"RSB, Bonanza","Fly Around My Daisy","aDADE",
"RSB, Bonanza","Flying Indian - Shelor","gDGBD",
"RSB, Bonanza","Flying Indian - Shelor","gDGDE",
"RSB, Bonanza","Forky Deer","aDADE",
"RSB, Bonanza","Fortune","aDADE",
"RSB, Bonanza","Four Cent Cotton","gCGCD",
"RSB, Bonanza","Francis Grant's Reel","aDADE",
"RSB, Bonanza","Frosty Morning","aEADE",
"RSB, Bonanza","Girl I Left Behind Me","gDGBD",
"RSB, Bonanza","Girl I Left Behind Me","gDGDE",
"RSB, Bonanza","Going Across The Sea","aDADE",
"RSB, Bonanza","Golden Slippers","aDADE",
"RSB, Bonanza","Goodbye Girls I'm Going To Boston","aEAC#E",
"RSB, Bonanza","Greasy Coat","aEAC#E",
"RSB, Bonanza","Green Mountain","gDGBD",
"RSB, Bonanza","Green Mountain","gDGDE",
"RSB, Bonanza","Growling Old Man And Woman","aEAC#E",
"RSB, Bonanza","Halting March","aEADE",
"RSB, Bonanza","Hobart's Transformation","aEADE",
"RSB, Bonanza","Jaw Bone - Popes Mountaineers","aEAC#E",
"RSB, Bonanza","Jenny On The Railroad","aEAC#E",
"RSB, Bonanza","Jesse James","aDADE",
"RSB, Bonanza","Jesse James","aEAC#E",
"RSB, Bonanza","John Henry","aEAC#E",
"RSB, Bonanza","Johnny Don't Get Drunk","aDADE",
"RSB, Bonanza","Julie Anne Johnson","aDADE",
"RSB, Bonanza","Jump Jim Crow","aDADE",
"RSB, Bonanza","June Apple","aEAC#E",
"RSB, Bonanza","Keep On Truckin' Mama","gDGBD",
"RSB, Bonanza","Keep On Truckin' Mama","gDGBD",
"RSB, Bonanza","Leather Britches","gDGBD",
"RSB, Bonanza","Leather Britches","gDGDE",
"RSB, Bonanza","Liberty","aDADE",
"RSB, Bonanza","Little Maggie","aEAC#E",
"RSB, Bonanza","Little Rabbit","aEAC#E",
"RSB, Bonanza","Little Sally Anne","aEAC#E",
"RSB, Bonanza","Liza Jane - Carter Bros.","aEAC#E",
"RSB, Bonanza","Midnight On The Water","aDADE",
"RSB, Bonanza","Midnight On The Water - 2nd Banjo","aDADE",
"RSB, Bonanza","Mississippi Sawyer","aDADE",
"RSB, Bonanza","Morning Blues","aEAC#E",
"RSB, Bonanza","Muddy Roads","aDADE",
"RSB, Bonanza","Muskrat - Solo Version","aDADD",
"RSB, Bonanza","Muskrat - String Band Version","aDADD",
"RSB, Bonanza","Needle Case","aDADE",
"RSB, Bonanza","Nonesuch","aDADE",
"RSB, Bonanza","Off To California","gDGBD",
"RSB, Bonanza","Off To California","gDGDE",
"RSB, Bonanza","Oh My Little Darling","aEAC#E",
"RSB, Bonanza","Old Jimmie Sutton","aDAC#E",
"RSB, Bonanza","Old Joe Clark","aEAC#E",
"RSB, Bonanza","Old Joe Clark - A Modal","aEADE",
"RSB, Bonanza","Old Molly Hare","aDADE",
"RSB, Bonanza","Over The Waterfall","aDADE",
"RSB, Bonanza","Pike's Peak","gCGCD",
"RSB, Bonanza","Polly Put The Kettle On","aDADE",
"RSB, Bonanza","Poor Liza Jane","aEAC#E",
"RSB, Bonanza","Possum On A Rail","gDGBD",
"RSB, Bonanza","Possum On A Rail","gDGDE",
"RSB, Bonanza","Pretty Little Dog","aEADE",
"RSB, Bonanza","Pretty Little Shoes","aEAC#E",
"RSB, Bonanza","Quince Dillon's High D Tune","aDADE",
"RSB, Bonanza","Rabbit In A Pea Patch","aDADE",
"RSB, Bonanza","Rabbit In A Pea Patch","gCGCD",
"RSB, Bonanza","Ragtime Annie","aDADE",
"RSB, Bonanza","Rattletrap","gDGBD",
"RSB, Bonanza","Rattletrap","gDGDE",
"RSB, Bonanza","Rebel Raid","gDGBD",
"RSB, Bonanza","Rebel Raid","gDGDE",
"RSB, Bonanza","Red Haired Boy","aEAC#E",
"RSB, Bonanza","Reel Of The Hanged Man","aEAC#E",
"RSB, Bonanza","Richmond Cotillion","aDAC#E",
"RSB, Bonanza","Robinson County","aDADE",
"RSB, Bonanza","Rock The Cradle Joe","aDADE",
"RSB, Bonanza","Rockin In A Weary Land","aDADE",
"RSB, Bonanza","Rocky Pallet","gCGCD",
"RSB, Bonanza","Rose Tree","aDADE",
"RSB, Bonanza","Rose Tree","aDADE",
"RSB, Bonanza","Rose Tree","aDADE",
"RSB, Bonanza","Roustabout - Carlton","gDGDE",
"RSB, Bonanza","Sail Away Ladies","gDGBD",
"RSB, Bonanza","Sail Away Ladies","gDGDE",
"RSB, Bonanza","Sail Away Ladies - Bunt Stevens","gDGDE",
"RSB, Bonanza","Saint Anne's Reel 1","aDADE",
"RSB, Bonanza","Saint Anne's Reel 2","aDADE",
"RSB, Bonanza","Sally In The Garden 16","aDADE",
"RSB, Bonanza","Sally In The Garden 17","aDADE",
"RSB, Bonanza","Sandy River Belle","gDGBD",
"RSB, Bonanza","Sandy River Belle","gDGDE",
"RSB, Bonanza","Shady Grove - A Major","aEAC#E",
"RSB, Bonanza","Shady Grove - A Modal","aEADE",
"RSB, Bonanza","Shakin' Down The Acorns","aEADE",
"RSB, Bonanza","Ship In The Clouds","aDADE",
"RSB, Bonanza","Shipping Port","gDGBD",
"RSB, Bonanza","Shipping Port","gDGDE",
"RSB, Bonanza","Shortening Bread","gDGBD",
"RSB, Bonanza","Shortening Bread","gDGDE",
"RSB, Bonanza","Shove That Pig's Foot A Little Further","gDGBD",
"RSB, Bonanza","Shove That Pig's Foot A Little Further","gDGDE",
"RSB, Bonanza","Silver Strand","gDGBD",
"RSB, Bonanza","Silver Strand","gDGDE",
"RSB, Bonanza","Snowbird","aDADE",
"RSB, Bonanza","Sourwood Mountain","aEAC#E",
"RSB, Bonanza","Sourwood Mountain","aEAC#E",
"RSB, Bonanza","Spotted Pony","aDADE",
"RSB, Bonanza","Sugar Hill","aDADE",
"RSB, Bonanza","Sugar In My Coffee O","gDGBD",
"RSB, Bonanza","Sugar In My Coffee O","gDGDE",
"RSB, Bonanza","Sugar In The Gourd","gDGBD",
"RSB, Bonanza","Sugar In The Gourd","gDGDE",
"RSB, Bonanza","Symmondsbury Mummer's March","aEAC#E",
"RSB, Bonanza","Symmondsbury Mummer's March","aEAC#E",
"RSB, Bonanza","That's My Rabbit, My Dog Caught It","aDADE",
"RSB, Bonanza","That's My Rabbit, My Dog Caught It","gCGCD",
"RSB, Bonanza","That's My Rabbit, My Dog Caught It","gDGBD",
"RSB, Bonanza","That's My Rabbit, My Dog Caught It","gDGDE",
"RSB, Bonanza","Three Thin Dimes","aEAC#E",
"RSB, Bonanza","Train 45 (Old Reuben)","aEAC#E",
"RSB, Bonanza","Train On The Island","aEAC#E",
"RSB, Bonanza","Train On The Island","gDGDE",
"RSB, Bonanza","Turkey Buzzard","gDGBD",
"RSB, Bonanza","Turkey Buzzard","gDGDE",
"RSB, Bonanza","Twenty Eighth Of January","aEADE",
"RSB, Bonanza","Uncloudy Day","aEAC#E",
"RSB, Bonanza","Walking In The Parlour","aDADE",
"RSB, Bonanza","Walking Up Georgia Row","aDADE",
"RSB, Bonanza","Waynesboro","gDGBD",
"RSB, Bonanza","Waynesboro","gDGDE",
"RSB, Bonanza","West Fork Girls","aDADE",
"RSB, Bonanza","Wild Horses At Stoney Point","gDGBD",
"RSB, Bonanza","Wild Horses At Stoney Point","gDGDE",
"RSB, Bonanza","Will The Circle Be Unbroken","aDADE",
"RSB, Bonanza","Will The Circle Be Unbroken","aEAC#E",
"RSB, Bonanza","Wind That Shakes The Barley","aDADE",
"RSB, Bonanza","Yellow Barber","aDADE",
